MAP LOAD: map05
S	10	2032.0	-944.0	0.0
S	10	2480.0	-1120.0	0.0
S	11	2304.0	-432.0	0.0
S	11	2400.0	-480.0	0.0
S	11	2688.0	-480.0	0.0
S	11	2688.0	-976.0	0.0
S	13	768.0	-1040.0	0.0
S	13	0.0	-1056.0	0.0
S	17	1392.0	-624.0	0.0
S	70	1792.0	-816.0	0.0
S	54	1776.0	320.0	0.0
S	64	1216.0	448.0	0.0
S	10	896.0	64.0	0.0
S	69	352.0	-208.0	0.0
S	11	1104.0	432.0	0.0
S	11	1072.0	464.0	0.0
S	95	464.0	-992.0	0.0
S	95	304.0	-992.0	0.0
S	53	2400.0	-480.0	0.0
S	12	2208.0	-480.0	0.0
S	13	624.0	-1296.0	0.0
S	13	144.0	-1296.0	0.0
S	69	1552.0	-496.0	0.0
S	69	624.0	352.0	0.0
S	69	736.0	-144.0	0.0
S	69	160.0	320.0	0.0
S	105	2224.0	-336.0	0.0
S	133	2144.0	-336.0	0.0
S	57	1680.0	448.0	0.0
TICK: 0
TICK: 1
TICK: 2
TICK: 3
TICK: 4
TICK: 5
U	0	352.0	432.0	160.0
S	0	352.0	431.63488	160.0
TICK: 6
U	0	352.0	431.63488	160.0
S	0	352.0	431.61632	160.0
TICK: 7
TICK: 8
TICK: 9
TICK: 10
U	0	352.0	431.61632	160.0
S	0	352.19	431.10432	160.0
TICK: 11
U	0	352.19	431.10432	160.0
S	0	352.55	429.43904	160.0
TICK: 12
U	0	352.55	429.43904	160.0
S	0	352.105	427.37374	160.0
TICK: 13
U	0	352.105	427.37374	160.0
S	0	352.168	424.60128	160.0
TICK: 14
U	0	352.168	424.60128	160.0
S	0	352.244	421.47980	160.0
TICK: 15
U	0	352.244	421.47980	160.0
S	0	352.331	418.4202	160.0
TICK: 16
U	0	352.331	418.4202	160.0
S	0	352.428	413.62832	160.0
TICK: 17
U	0	352.428	413.62832	160.0
S	0	352.534	409.29949	160.0
TICK: 18
U	0	352.534	409.29949	160.0
S	0	352.649	404.39060	160.0
TICK: 19
U	0	352.649	404.39060	160.0
S	0	352.772	399.26836	160.0
TICK: 20
U	0	352.772	399.26836	160.0
S	0	352.902	393.60814	160.0
TICK: 21
U	0	352.902	393.60814	160.0
S	0	352.1038	388.11734	160.0
TICK: 22
U	0	352.1038	388.11734	160.0
S	0	352.1180	382.12311	160.0
TICK: 23
U	0	352.1180	382.12311	160.0
S	0	352.1328	375.61985	160.0
TICK: 24
U	0	352.1328	375.61985	160.0
S	0	352.1481	369.33274	160.0
TICK: 25
U	0	352.1481	369.33274	160.0
S	0	352.1638	362.58454	160.0
TICK: 26
U	0	352.1638	362.58454	160.0
S	0	352.1799	356.7545	160.0
TICK: 27
U	0	352.1799	356.7545	160.0
S	0	352.1960	349.20800	160.0
TICK: 28
U	0	352.1960	349.20800	160.0
S	0	352.3737	344.12311	160.0
TICK: 29
U	0	352.3737	344.12311	160.0
S	0	352.9234	340.49577	160.0
TICK: 30
U	0	352.9234	340.49577	160.0
S	0	352.17662	338.23830	160.0
TICK: 31
U	0	352.17662	338.23830	160.0
S	0	352.28596	336.57719	160.0
TICK: 32
U	0	352.28596	336.57719	160.0
S	0	352.45997	337.6235	160.0
TICK: 33
U	0	352.45997	337.6235	160.0
S	0	353.117	338.33209	160.0
TICK: 34
U	0	353.117	338.33209	160.0
S	0	353.17930	339.51510	160.0
TICK: 35
U	0	353.17930	339.51510	160.0
S	0	353.34073	340.61951	160.0
TICK: 36
U	0	353.34073	340.61951	160.0
S	0	353.48702	341.65269	160.0
TICK: 37
U	0	353.48702	341.65269	160.0
S	0	353.61959	342.62131	160.0
TICK: 38
U	0	353.61959	342.62131	160.0
S	0	354.8437	343.53143	160.0
TICK: 39
U	0	354.8437	343.53143	160.0
S	0	354.19324	344.38853	160.0
TICK: 40
U	0	354.19324	344.38853	160.0
S	0	354.29190	345.19758	160.0
TICK: 41
U	0	354.29190	345.19758	160.0
S	0	354.38131	345.61845	160.0
TICK: 42
U	0	354.38131	345.61845	160.0
S	0	354.46233	346.34450	160.0
TICK: 43
U	0	354.46233	346.34450	160.0
S	0	354.53575	347.3479	160.0
TICK: 44
U	0	354.53575	347.3479	160.0
